state,group,rurality,year,half_year,suppression_used,total_prescriptions,chipMedicaidEnroll
ga,0,2,2016,1,FALSE,42864,1782171
ga,0,2,2016,1,TRUE,0,1782171
ga,0,2,2016,2,FALSE,46201,1755450
ga,0,2,2016,2,TRUE,0,1755450
hi,1,1,2011,1,FALSE,3767,272257
hi,1,1,2011,1,TRUE,0,272257
hi,1,1,2011,2,FALSE,3892,285478
hi,1,1,2011,2,TRUE,0,285478
hi,1,1,2012,1,FALSE,4350,287892
hi,1,1,2012,1,TRUE,0,287892
hi,1,1,2012,2,FALSE,4464,290495
hi,1,1,2012,2,TRUE,0,290495
hi,1,1,2013,1,FALSE,5081,292390
hi,1,1,2013,1,TRUE,0,292390
hi,1,1,2013,2,FALSE,4627,307484
hi,1,1,2013,2,TRUE,0,307484
hi,1,1,2014,1,FALSE,5357,321230
hi,1,1,2014,1,TRUE,0,321230
hi,1,1,2014,2,FALSE,5257,308567
hi,1,1,2014,2,TRUE,0,308567
hi,1,1,2015,1,FALSE,6250,331168
hi,1,1,2015,1,TRUE,0,331168
hi,1,1,2015,2,FALSE,6598,339044
hi,1,1,2015,2,TRUE,0,339044
hi,1,1,2016,1,FALSE,5840,340999
hi,1,1,2016,1,TRUE,0,340999
hi,1,1,2016,2,FALSE,6466,345975
hi,1,1,2016,2,TRUE,0,345975
ia,1,2,2011,1,FALSE,11831,487923
ia,1,2,2011,1,TRUE,0,487923
ia,1,2,2011,2,FALSE,11128,504626
ia,1,2,2011,2,TRUE,0,504626
ia,1,2,2012,1,FALSE,12533,517180
ia,1,2,2012,1,TRUE,0,517180
ia,1,2,2012,2,FALSE,13823,525263
ia,1,2,2012,2,TRUE,0,525263
ia,1,2,2013,1,FALSE,12906,529724
ia,1,2,2013,1,TRUE,0,529724
ia,1,2,2013,2,FALSE,13018,526293
ia,1,2,2013,2,TRUE,0,526293
ia,1,2,2014,1,FALSE,17536,598873
ia,1,2,2014,1,TRUE,0,598873
ia,1,2,2014,2,FALSE,19177,572104
ia,1,2,2014,2,TRUE,0,572104
ia,1,2,2015,1,FALSE,20727,597300
ia,1,2,2015,1,TRUE,0,597300
