state,group,year,halfyear,chipMedicaidEnroll,totalRX
KS,0,2011,1,370994,5592
KS,0,2011,2,383901,5731
KS,0,2012,1,389778,6149
KS,0,2012,2,393602,6453
KS,0,2013,1,414763,1216
KS,0,2013,2,406401,3315
KS,0,2014,1,404319,12416
KS,0,2014,2,400885,8968
KS,0,2015,1,405613,7179
KS,0,2015,2,407388,5906
KS,0,2016,1,420386,6459
KS,0,2016,2,408885,7658
KY,1,2011,1,861523,21577
KY,1,2011,2,865706,22412
KY,1,2012,1,866031,20097
KY,1,2012,2,870382,23627
KY,1,2013,1,867170,20949
KY,1,2013,2,847644,15489
KY,1,2014,1,1054115,20459
KY,1,2014,2,1073384,26464
KY,1,2015,1,1117207,39281
KY,1,2015,2,1179314,35601
KY,1,2016,1,1225842,49689
KY,1,2016,2,1230475,47420
LA,0,2011,1,1121318,8592
LA,0,2011,2,1147287,8848
LA,0,2012,1,1164796,8925
LA,0,2012,2,1170908,10628
LA,0,2013,1,1170642,11414
LA,0,2013,2,1176799,10079
LA,0,2014,1,1033090,10925
LA,0,2014,2,1044151,9525
LA,0,2015,1,1072982,13990
LA,0,2015,2,1077109,11725
LA,0,2016,1,1052682,12089
LA,0,2016,2,1415385,13582
MA,1,2011,1,1306943,14306
MA,1,2011,2,1304413,13637
MA,1,2012,1,1352214,14985
MA,1,2012,2,1370370,13518
MA,1,2013,1,1392502,15094
MA,1,2013,2,1398075,13313
MA,1,2014,1,1469714,15370
MA,1,2014,2,1586233,13940
MA,1,2015,1,1642613,14052
MA,1,2015,2,1676400,13717
MA,1,2016,1,1665649,15837
MA,1,2016,2,1655529,16178
MD,1,2011,1,945318,11501
MD,1,2011,2,968438,12088
MD,1,2012,1,986763,12499
MD,1,2012,2,1009705,12885
MD,1,2013,1,1033249,13110
MD,1,2013,2,1064852,12921
MD,1,2014,1,1156628,15574
MD,1,2014,2,1143810,16091
MD,1,2015,1,1189192,16187
MD,1,2015,2,1162313,16903
MD,1,2016,1,1229447,17766
MD,1,2016,2,1281890,16388
ME,0,2011,1,313545,7017
