year,state,halfyear,suppression,totalRX
2012,ID,1,T,0
2012,ID,2,F,3670
2012,ID,2,T,0
2012,IL,1,F,16254
2012,IL,1,T,0
2012,IL,2,F,18079
2012,IL,2,T,0
2012,IN,1,T,0
2012,IN,1,F,19981
2012,IN,2,T,0
2012,IN,2,F,16796
2012,KS,1,F,5939
2012,KS,1,T,0
2012,KS,2,T,0
2012,KS,2,F,6093
2012,KY,1,T,0
2012,KY,1,F,19827
2012,KY,2,T,0
2012,KY,2,F,23307
2012,LA,1,F,8815
2012,LA,1,T,0
2012,LA,2,T,0
2012,LA,2,F,10408
2012,MA,1,F,14775
2012,MA,1,T,0
2012,MA,2,F,13248
2012,MA,2,T,0
2012,MD,1,F,12179
2012,MD,1,T,0
2012,MD,2,T,0
2012,MD,2,F,12615
2012,ME,1,F,7396
2012,ME,1,T,0
2012,ME,2,F,7858
2012,ME,2,T,0
2012,MI,1,F,14920
2012,MI,1,T,0
2012,MI,2,F,15354
2012,MI,2,T,0
2012,MN,1,F,16220
2012,MN,1,T,0
2012,MN,2,T,0
2012,MN,2,F,17135
2012,MO,1,F,24188
2012,MO,1,T,0
2012,MO,2,T,0
2012,MO,2,F,26066
2012,MS,1,F,2623
2012,MS,1,T,0
2012,MS,2,F,2616
2012,MS,2,T,0
2012,MT,1,T,0
2012,MT,1,F,2668
2012,MT,2,F,3062
2012,MT,2,T,0
2012,NC,1,T,0
2012,NC,1,F,14973
2012,NC,2,T,0
2012,NC,2,F,14433
2012,NE,1,F,3303
2012,NE,1,T,0
2012,NE,2,F,3668
2012,NE,2,T,0
2012,NH,1,T,0
2012,NH,1,F,3241
2012,NH,2,T,0
2012,NH,2,F,3936
2012,NJ,1,T,0
2012,NJ,1,F,10448
2012,NJ,2,T,0
2012,NJ,2,F,10632
2012,NM,1,T,0
2012,NM,1,F,2792
2012,NM,2,T,0
2012,NM,2,F,2636
2012,NV,1,T,0
2012,NV,1,F,3068
2012,NV,2,T,0
2012,NV,2,F,3223
2012,NY,1,T,0
2012,NY,1,F,45706
2012,NY,2,T,0
2012,NY,2,F,43401
2012,OH,1,F,38135
2012,OH,1,T,0
2012,OH,2,T,0
2012,OH,2,F,48412
