state,group,year,halfyear,chipMedicaidEnroll,suppression,totalRX
DC,1,2013,1,210376,F,2207
DC,1,2013,1,210376,T,0
DC,1,2013,2,220643,F,1662
DC,1,2013,2,220643,T,0
DC,1,2014,1,246413,F,1836
DC,1,2014,1,246413,T,0
DC,1,2014,2,256282,F,2137
DC,1,2014,2,256282,T,0
DC,1,2015,1,255352,F,1953
DC,1,2015,1,255352,T,0
DC,1,2015,2,263296,F,2203
DC,1,2015,2,263296,T,0
DC,1,2016,1,264415,F,2111
DC,1,2016,1,264415,T,0
DC,1,2016,2,264849,T,0
DC,1,2016,2,264849,F,1764
DE,1,2011,1,205037,F,1367
DE,1,2011,1,205037,T,0
DE,1,2011,2,211856,F,1356
DE,1,2011,2,211856,T,0
DE,1,2012,1,214914,F,1321
DE,1,2012,1,214914,T,0
DE,1,2012,2,218208,F,1328
DE,1,2012,2,218208,T,0
DE,1,2013,1,217708,T,0
DE,1,2013,1,217708,F,1220
DE,1,2013,2,217385,T,0
DE,1,2013,2,217385,F,1357
DE,1,2014,1,233471,T,0
DE,1,2014,1,233471,F,1429
DE,1,2014,2,235047,F,1367
DE,1,2014,2,235047,T,0
DE,1,2015,1,240302,T,0
DE,1,2015,1,240302,F,1548
DE,1,2015,2,241704,F,1643
DE,1,2015,2,241704,T,0
DE,1,2016,1,235967,T,0
DE,1,2016,1,235967,F,2100
DE,1,2016,2,241664,T,0
DE,1,2016,2,241664,F,2293
FL,0,2011,1,3246247,F,29056
FL,0,2011,1,3246247,T,0
FL,0,2011,2,3322150,F,27746
FL,0,2011,2,3322150,T,0
FL,0,2012,1,3415214,F,18067
FL,0,2012,1,3415214,T,0
FL,0,2012,2,3510751,F,40069
FL,0,2012,2,3510751,T,0
FL,0,2013,1,3552980,F,29002
FL,0,2013,1,3552980,T,0
FL,0,2013,2,3586873,F,18580
FL,0,2013,2,3586873,T,0
FL,0,2014,1,3327915,T,0
FL,0,2014,1,3327915,F,18502
FL,0,2014,2,3373853,T,0
FL,0,2014,2,3373853,F,14546
FL,0,2015,1,3523843,T,0
FL,0,2015,1,3523843,F,11538
FL,0,2015,2,3576023,F,16289
FL,0,2015,2,3576023,T,0
FL,0,2016,1,3605848,T,0
FL,0,2016,1,3605848,F,19286
FL,0,2016,2,4337514,T,0
FL,0,2016,2,4337514,F,19823
GA,0,2011,1,1709353,F,12954
GA,0,2011,1,1709353,T,0
GA,0,2011,2,1709922,T,0
GA,0,2011,2,1709922,F,15543
GA,0,2012,1,1749278,F,15069
GA,0,2012,1,1749278,T,0
GA,0,2012,2,1769064,T,0
GA,0,2012,2,1769064,F,15175
GA,0,2013,1,1764173,T,0
GA,0,2013,1,1764173,F,15027
GA,0,2013,2,1731373,T,0
GA,0,2013,2,1731373,F,12960
GA,0,2014,1,1766387,T,0
GA,0,2014,1,1766387,F,13082
GA,0,2014,2,1749519,T,0
GA,0,2014,2,1749519,F,13041
GA,0,2015,1,1785957,T,0
GA,0,2015,1,1785957,F,12784
GA,0,2015,2,1782498,T,0
GA,0,2015,2,1782498,F,14111
GA,0,2016,1,1782171,T,0
GA,0,2016,1,1782171,F,15006
GA,0,2016,2,1755450,T,0
GA,0,2016,2,1755450,F,15633
HI,1,2011,1,272257,T,0
HI,1,2011,1,272257,F,2201
HI,1,2011,2,285478,T,0
HI,1,2011,2,285478,F,2225
HI,1,2012,1,287892,T,0
HI,1,2012,1,287892,F,2199
HI,1,2012,2,290495,T,0
HI,1,2012,2,290495,F,2293
HI,1,2013,1,292390,T,0
HI,1,2013,1,292390,F,2439
HI,1,2013,2,307484,T,0
HI,1,2013,2,307484,F,2216
HI,1,2014,1,321230,T,0
HI,1,2014,1,321230,F,2857
HI,1,2014,2,308567,T,0
HI,1,2014,2,308567,F,2680
HI,1,2015,1,331168,T,0
HI,1,2015,1,331168,F,3015
HI,1,2015,2,339044,F,3036
HI,1,2015,2,339044,T,0
HI,1,2016,1,340999,T,0
HI,1,2016,1,340999,F,2312
HI,1,2016,2,345975,T,0
HI,1,2016,2,345975,F,2652
IA,1,2011,1,487923,T,0
IA,1,2011,1,487923,F,9410
IA,1,2011,2,504626,F,8490
IA,1,2011,2,504626,T,0
IA,1,2012,1,517180,T,0
IA,1,2012,1,517180,F,9586
IA,1,2012,2,525263,T,0
IA,1,2012,2,525263,F,10292
IA,1,2013,1,529724,T,0
IA,1,2013,1,529724,F,9490
IA,1,2013,2,526293,F,9086
IA,1,2013,2,526293,T,0
IA,1,2014,1,598873,F,10749
IA,1,2014,1,598873,T,0
IA,1,2014,2,572104,F,11040
IA,1,2014,2,572104,T,0
IA,1,2015,1,597300,F,11161
IA,1,2015,1,597300,T,0
IA,1,2015,2,608837,F,11250
IA,1,2015,2,608837,T,0
IA,1,2016,1,618152,F,10886
IA,1,2016,1,618152,T,0
IA,1,2016,2,622071,T,0
IA,1,2016,2,622071,F,8766
ID,0,2011,1,239837,F,2836
ID,0,2011,1,239837,T,0
ID,0,2011,2,242771,F,3266
ID,0,2011,2,242771,T,0
ID,0,2012,1,245422,F,3430
ID,0,2012,1,245422,T,0
ID,0,2012,2,252817,F,3670
ID,0,2012,2,252817,T,0
ID,0,2013,1,255440,F,3772
